obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2034.404""","=""0.005""","=""2034.40570""","=""0.00010""","=""2700bl(Fe II)*""","=""1.8e+06""",D,"=""22810.3459""","=""71964.750""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
"=""2034.404""","=""0.005""","=""2034.40927""","=""0.00012""","=""2700bl(Fe II)*""","=""""",,"=""73143.346""","=""122297.664""","=""3d6.(1G2).4p""","=""w 2G*""","=""7/2""","=""3d6.(3H).6s""","=""4H""","=""7/2""",,"=""""","=""L18349c143""",
"=""2034.7322""","=""0.0019""","=""2034.73078""","=""0.00009""","=""400""","=""2.0e+06""",D,"=""54273.656""","=""103420.207""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2034.8092""","=""0.0010""","=""2034.80907""","=""0.00009""","=""500""","=""1.5e+07""",D,"=""60384.368""","=""109529.028""","=""3d5.4s2""","=""c 4D""","=""1/2""","=""3d6.(3P2).5p""","=""4P*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2035.0961""","=""0.0010""","=""2035.09641""","=""0.00010""","=""4000""","=""6.e+06""",D,"=""23031.2829""","=""72169.004""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3D).4p""","=""w 4F*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2035.2718""","=""0.0013""","=""2035.27011""","=""0.00012""","=""2500""","=""1.6e+06""",D,"=""20516.9534""","=""69650.481""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2035.573""","=""0.005""","=""2035.56706""","=""0.00009""","=""290d,bl(Fe I)""","=""""",,"=""60445.279""","=""109571.639""","=""3d5.4s2""","=""c 4D""","=""5/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",,"=""""","=""L18349c143""",
"=""2036.5071""","=""0.0006""","=""2036.50605""","=""0.00017""","=""7000""","=""3.2e+06""",D,"=""22939.3512""","=""72043.060""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2036.7026""","=""0.0006""","=""2036.70298""","=""0.00010""","=""1000""","=""3.1e+06""",D,"=""57493.333""","=""106592.294""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2037.09105""","=""0.00014""","=""2037.09080""","=""0.00010""","=""28000""","=""3.2e+07""",D+,"=""20516.9534""","=""69606.567""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2037.1592""","=""0.0008""","=""2037.15834""","=""0.00009""","=""500""","=""1.5e+07""",D,"=""60441.042""","=""109529.028""","=""3d5.4s2""","=""c 4D""","=""3/2""","=""3d6.(3P2).5p""","=""4P*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2037.530""","=""0.005""","=""2037.52855""","=""0.00009""","=""330d,bl(Fe III)?""","=""""",,"=""54273.656""","=""103352.723""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2037.795""","=""0.005""","=""2037.80549""","=""0.00012""","=""500d,bl(Fe III)?""","=""""",,"=""44915.057""","=""93987.454""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2038.1028""","=""0.0016""","=""2038.1015""","=""0.0004""","=""600""","=""4.0e+07""",D+,"=""54902.286""","=""103967.555""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""2S*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2038.434""","=""0.005""","=""2038.43034""","=""0.00010""","=""2200d?""","=""""",,"=""13904.8604""","=""62962.215""","=""3d7""","=""a 4P""","=""1/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",,"=""""","=""L18349c143""",
"=""2039.340""","=""0.005""","=""2039.34754""","=""0.00009""","=""220d,bl(Fe I)?""","=""""",,"=""64831.951""","=""113867.242""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""","=""3d6.(5D).6d""","=""6G""","=""11/2""",,"=""""","=""L18349c143""",
"=""2039.761""","=""0.005""","=""2039.75903""","=""0.00010""","=""700""","=""""",,"=""22939.3512""","=""71964.750""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2040.0713""","=""0.0004""","=""2040.07153""","=""0.00009""","=""800""","=""""",,"=""66012.775""","=""115030.664""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""2040.1774""","=""0.0012""","=""2040.17767""","=""0.00009""","=""300""","=""4.4e+06""",D,"=""60441.042""","=""109456.381""","=""3d5.4s2""","=""c 4D""","=""3/2""","=""3d6.(3P2).5p""","=""4P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2040.327""","=""0.005""","=""2040.32594""","=""0.00017""","=""1300""","=""3.1e+06""",D,"=""23031.2829""","=""72043.060""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""",,"=""T6892c83""","=""L18349c142""",
"=""2040.3540""","=""0.0007""","=""2040.35404""","=""0.00009""","=""600""","=""7.e+06""",D,"=""60445.279""","=""109456.381""","=""3d5.4s2""","=""c 4D""","=""5/2""","=""3d6.(3P2).5p""","=""4P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2041.01837""","=""0.00019""","=""2041.01830""","=""0.00017""","=""1200""","=""""",,"=""69102.427""","=""118097.578""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""5/2""","=""3d5.4p2""","=""4P""","=""5/2""",,"=""""","=""L18349c139""",
"=""2041.34555""","=""0.00010""","=""2041.34462""","=""0.00017""","=""70000bl(Fe II)*""","=""""",,"=""57411.086""","=""106398.405""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2P*""","=""3/2""",,"=""""","=""L18349c148""",
"=""2041.34555""","=""0.00010""","=""2041.34531""","=""0.00010""","=""70000bl(Fe II)*""","=""4.6e+07""",D+,"=""15844.6485""","=""64831.951""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""2041.8476""","=""0.0012""","=""2041.84721""","=""0.00017""","=""190""","=""""",,"=""69302.086""","=""118277.347""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""3/2""","=""3d5.4p2""","=""4P""","=""3/2""",,"=""""","=""L18349c139""",
"=""2042.192""","=""0.005""","=""2042.20169""","=""0.00010""","=""320bl""","=""""",,"=""54902.286""","=""103869.046""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2042.423""","=""0.005""","=""2042.42818""","=""0.00013""","=""130d?""","=""""",,"=""73393.771""","=""122355.101""","=""3d5.4s2""","=""4F""","=""9/2""","=""3d6.(3P2<2>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2042.910""","=""0.005""","=""2042.89908""","=""0.00009""","=""190d,bl(Fe III)?*""","=""""",,"=""65696.053""","=""114646.097""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c142""",
"=""2042.910""","=""0.005""","=""2042.90334""","=""0.00009""","=""190d,bl(Fe III)?*""","=""""",,"=""64286.354""","=""113236.296""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(5D).7s""","=""4D""","=""5/2""",,"=""""","=""L18349c142""",
"=""2043.902""","=""0.005""","=""2043.89497""","=""0.00010""","=""190d,bl(Fe II)?*""","=""""",,"=""65556.271""","=""114482.464""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""9/2""",,"=""""","=""L18349c142""",
"=""2043.902""","=""0.005""","=""2043.90772""","=""0.00009""","=""190d,bl(Fe II)?*""","=""""",,"=""64040.891""","=""112966.779""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d5.(6S).4p2""","=""6P""","=""7/2""",,"=""""","=""L18349c142""",
"=""2043.9791""","=""0.0007""","=""2043.97779""","=""0.00010""","=""3000""","=""""",,"=""13904.8604""","=""62829.071""","=""3d7""","=""a 4P""","=""1/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""1/2""",,"=""""","=""L18349c139""",
"=""2044.4384""","=""0.0004""","=""2044.43819""","=""0.00013""","=""9000""","=""1.5e+07""",D+,"=""18360.6399""","=""67273.833""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2044.664""","=""0.005""","=""2044.6536""","=""0.0010""","=""330""","=""""",,"=""54275.649""","=""103183.69""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2044.7786""","=""0.0013""","=""2044.77769""","=""0.00017""","=""500""","=""4.3e+06""",D,"=""57493.333""","=""106398.405""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2044.978""","=""0.005""","=""2044.9708""","=""0.0010""","=""400""","=""""",,"=""54283.236""","=""103183.69""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2045.641""","=""0.005""","=""2045.64791""","=""0.00009""","=""1100bl(Fe III)""","=""""",,"=""21430.3564""","=""70314.624""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2046.3183""","=""0.0007""","=""2046.31871""","=""0.00010""","=""900""","=""4.0e+06""",D,"=""57411.086""","=""106279.329""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2046.504""","=""0.005""","=""2046.51106""","=""0.00013""","=""400bl(Fe III)""","=""""",,"=""58666.199""","=""107529.849""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d6.(5D).6p""","=""6F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2046.629""","=""0.005""","=""2046.6177""","=""0.0003""","=""310""","=""""",,"=""60625.446""","=""109486.551""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""","=""3d5.4s.(7S).4d""","=""8D""","=""11/2""",,"=""""","=""L18349c142""",
"=""2047.0686""","=""0.0005""","=""2047.06895""","=""0.00021""","=""500""","=""""",,"=""69427.014""","=""118277.347""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""1/2""","=""3d5.4p2""","=""4P""","=""3/2""",,"=""""","=""L18349c139""",
"=""2047.8600""","=""0.0011""","=""2047.86118""","=""0.00017""","=""1100""","=""2.4e+07""",D+,"=""49506.922""","=""98338.357""","=""3d6.(3P1).4s""","=""c 4P""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4S*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2048.3718""","=""0.0013""","=""2048.37095""","=""0.00013""","=""3100""","=""5.6e+06""",D+,"=""25787.5816""","=""74606.864""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2049.1469""","=""0.0008""","=""2049.14658""","=""0.00010""","=""5000""","=""4.8e+06""",D+,"=""20805.7632""","=""69606.567""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2049.3700""","=""0.0004""","=""2049.36964""","=""0.00017""","=""500""","=""""",,"=""69302.086""","=""118097.578""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""3/2""","=""3d5.4p2""","=""4P""","=""5/2""",,"=""""","=""L18349c139""",
"=""2049.7077""","=""0.0007""","=""2049.70590""","=""0.00009""","=""900""","=""2.7e+06""",D+,"=""54232.201""","=""103019.688""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(5D<4>).4f""","=""2[7]*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""2050.189""","=""0.005""","=""2050.18805""","=""0.00009""","=""1300""","=""""",,"=""20830.5534""","=""69606.567""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2050.431""","=""0.005""","=""2050.43800""","=""0.00009""","=""800d?""","=""""",,"=""13474.4474""","=""62244.515""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2051.69084""","=""0.00010""","=""2051.69108""","=""0.00010""","=""60000""","=""3.7e+07""",D+,"=""16369.4098""","=""65109.691""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2052.944""","=""0.005""","=""2052.94498""","=""0.00013""","=""1500""","=""3.0e+06""",D,"=""25787.5816""","=""74498.093""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(3D).4p""","=""x 2D*""","=""3/2""",,"=""T6892c83""","=""L18349c142""",
"=""2053.511""","=""0.005""","=""2053.50714""","=""0.00009""","=""800""","=""""",,"=""13474.4474""","=""62171.624""","=""3d7""","=""a 4P""","=""5/2""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2054.3522""","=""0.0013""","=""2054.35382""","=""0.00009""","=""1600""","=""""",,"=""13474.4474""","=""62151.554""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2055.451""","=""0.005""","=""2055.44959""","=""0.00010""","=""800""","=""""",,"=""13474.4474""","=""62125.604""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2055.92573""","=""0.00013""","=""2055.92570""","=""0.00010""","=""28000""","=""3.1e+07""",D+,"=""18360.6399""","=""67000.530""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2056.2565""","=""0.0007""","=""2056.25646""","=""0.00013""","=""700bl(Cr)""","=""""",,"=""58666.199""","=""107298.265""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""5/2""",,"=""""","=""L18349c148""",
"=""2057.415""","=""0.005""","=""2057.42241""","=""0.00021""","=""500?""","=""3.6e+06""",D,"=""47674.728""","=""96279.234""","=""3d7""","=""d 2D1""","=""3/2""","=""3d5.(4G).4s.4p.(3P*)""","=""t 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""2057.610""","=""0.005""","=""2057.60632""","=""0.00013""","=""600?""","=""""",,"=""27314.9183""","=""75915.080""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2057.9909""","=""0.0002""","=""2057.99087""","=""0.00009""","=""10000""","=""2.8e+06""",C+,"=""13474.4474""","=""62065.528""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",,"=""T7461""","=""L18349c139""",
"=""2058.785""","=""0.005""","=""2058.77405""","=""0.00013""","=""700d?""","=""""",,"=""44915.057""","=""93487.653""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""7/2""",,"=""""","=""L18349c143""",
"=""2058.831""","=""0.005""","=""2058.82853""","=""0.00010""","=""1500""","=""""",,"=""13673.2045""","=""62244.515""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2059.004""","=""0.005""","=""2059.00609""","=""0.00009""","=""180d?""","=""""",,"=""66463.542""","=""115030.664""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c142""",
"=""2059.236""","=""0.005""","=""2059.23433""","=""0.00009""","=""400bl(Fe III)""","=""""",,"=""64425.405""","=""112987.144""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(5D).7s""","=""6D""","=""5/2""",,"=""""","=""L18349c142""",
"=""2060.116""","=""0.005""","=""2060.11533""","=""0.00013""","=""800""","=""""",,"=""25428.7893""","=""73969.761""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(1I).4p""","=""y 2I*""","=""11/2""",,"=""""","=""L18349c142""",
"=""2060.241""","=""0.005""","=""2060.23918""","=""0.00013""","=""600""","=""""",,"=""25428.7893""","=""73966.843""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(1I).4p""","=""y 2I*""","=""13/2""",,"=""""","=""L18349c142""",
"=""2060.27669""","=""0.00015""","=""2060.27644""","=""0.00009""","=""3400""","=""1.6e+07""",E,"=""60270.351""","=""108807.527""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(3P2).5p""","=""4P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2062.2374""","=""0.0008""","=""2062.23789""","=""0.00017""","=""220""","=""""",,"=""69606.567""","=""118097.578""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""","=""3d5.4p2""","=""4P""","=""5/2""",,"=""""","=""L18349c139""",
"=""2062.7766""","=""0.0016""","=""2062.77650""","=""0.00009""","=""1600""","=""""",,"=""13673.2045""","=""62151.554""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2063.4039""","=""0.0014""","=""2063.4043""","=""0.0013""","=""500""","=""1.0e+07""",D+,"=""54870.541""","=""103334.14""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2063.449""","=""0.005""","=""2063.44937""","=""0.00010""","=""2100d?""","=""""",,"=""16369.4098""","=""64831.951""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""",,"=""""","=""L18349c143""",
"=""2063.875""","=""0.005""","=""2063.88127""","=""0.00010""","=""800d?""","=""""",,"=""13673.2045""","=""62125.604""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2064.33708""","=""0.00011""","=""2064.33690""","=""0.00009""","=""40000""","=""1.9e+07""",D+,"=""15844.6485""","=""64286.354""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2064.883""","=""0.005""","=""2064.87418""","=""0.00017""","=""500bl(Ar I)""","=""""",,"=""50075.921""","=""98505.022""","=""3d6.(3F1).4s""","=""c 4F""","=""3/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2066.3489""","=""0.0015""","=""2066.34962""","=""0.00009""","=""310""","=""""",,"=""60384.368""","=""108778.889""","=""3d5.4s2""","=""c 4D""","=""1/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""""","=""L18349c139""",
"=""2066.417""","=""0.005""","=""2066.40602""","=""0.00013""","=""500""","=""1.1e+06""",D,"=""50142.811""","=""98536.011""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""2066.6683""","=""0.0002""","=""2066.66824""","=""0.00013""","=""15000""","=""2.3e+07""",D+,"=""18886.773""","=""67273.833""","=""3d7""","=""a 2P""","=""1/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2066.831""","=""0.005""","=""2066.83282""","=""0.00017""","=""500d?""","=""""",,"=""38164.220""","=""86547.427""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d6.(1F).4p""","=""u 2F*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2067.012""","=""0.005""","=""2067.00131""","=""0.00010""","=""220d?""","=""""",,"=""62049.042""","=""110428.305""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d6.(3G).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c142""",
"=""2067.7294""","=""0.0007""","=""2067.72853""","=""0.00009""","=""600bl(Fe II)*""","=""2.1e+06""",D,"=""60445.279""","=""108807.527""","=""3d5.4s2""","=""c 4D""","=""5/2""","=""3d6.(3P2).5p""","=""4P*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2067.7294""","=""0.0007""","=""2067.73011""","=""0.00013""","=""600bl(Fe II)*""","=""""",,"=""50142.811""","=""98505.022""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c148""",
"=""2067.977""","=""0.005""","=""2067.98308""","=""0.00009""","=""260bl(Fe III)""","=""""",,"=""64040.891""","=""112397.186""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c142""",
"=""2068.329""","=""0.005""","=""2068.32958""","=""0.00013""","=""400bl(Fe II)*""","=""""",,"=""73966.843""","=""122315.037""","=""3d6.(1I).4p""","=""y 2I*""","=""13/2""","=""3d6.(3H).6s""","=""2H""","=""11/2""",,"=""""","=""L18349c142""",
"=""2068.329""","=""0.005""","=""2068.32980""","=""0.00013""","=""400bl(Fe II)*""","=""5.3e+06""",D+,"=""50187.822""","=""98536.011""","=""3d6.(3F1).4s""","=""c 4F""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""2068.57407""","=""0.00013""","=""2068.57397""","=""0.00013""","=""33000""","=""4.1e+07""",D+,"=""21307.999""","=""69650.481""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2068.6599""","=""0.0004""","=""2068.65943""","=""0.00021""","=""1500""","=""1.7e+07""",E,"=""58666.199""","=""107006.684""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d5.(2I).4s.4p.(3P*)""","=""2H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2068.695""","=""0.005""","=""2068.69315""","=""0.00010""","=""1500bl(Fe II)*""","=""""",,"=""61726.069""","=""110065.766""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""","=""3d6.(3G).4d""","=""2D""","=""5/2""",,"=""""","=""L18349c142""",
"=""2068.695""","=""0.005""","=""2068.69496""","=""0.00010""","=""1500bl(Fe II)*""","=""""",,"=""13904.8604""","=""62244.515""","=""3d7""","=""a 4P""","=""1/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2068.979""","=""0.005""","=""2068.98304""","=""0.00017""","=""900""","=""3.7e+06""",D,"=""38214.503""","=""86547.427""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""","=""3d6.(1F).4p""","=""u 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""2069.427""","=""0.005""","=""2069.42992""","=""0.00013""","=""600""","=""""",,"=""25428.7893""","=""73751.276""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(1I).4p""","=""w 2H*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2069.604""","=""0.005""","=""2069.60752""","=""0.00017""","=""800""","=""3.5e+06""",D,"=""38164.220""","=""86482.560""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d6.(1F).4p""","=""u 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""2070.316""","=""0.005""","=""2070.31937""","=""0.00010""","=""1000""","=""""",,"=""13673.2045""","=""61974.931""","=""3d7""","=""a 4P""","=""3/2""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2070.363""","=""0.002""","=""2070.36298""","=""0.00009""","=""240""","=""""",,"=""60270.351""","=""108571.060""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(3H).5p""","=""4G*""","=""9/2""",,"=""""","=""L18349c139""",
